AMEMBSSSY COLOMBO	INCB / TAMIL / CEYLON / NCAP / GSL / STAG / SUPERINTENDENT / LANKA / EXCISE / JEEP
CONAKRY	GUINEA / GUINEAN / GOG / PRESIDENT / AMBASSADOR / VISIT / MINISTER / PROJECT / AFRICAN / SOVIET
COPENHAGEN	DANISH / MINISTER / GOVERNMENT / DEAN / PARTY / SOCIAL / DEFENSE / SUMMARY / NATO / EUROPEAN
COTONOU	BENINESE / GOVT / REF / FRENCH / AMB / PEOPLE / AID / AFRICAN / STATE / COMMENT
CURACAO	CONGEN / NA / ANTILLES / NETHERLANDS / REFERENCE / MINISTER / ISLAND / DEA / DUTCH / LOCAL
DACCA	BANGLADESH / GOVERNMENT / FOOD / PAKISTAN / AID / INDIA / MILLION / MINISTRY / INDIAN / WHEAT
DAKAR	SENEGALESE / PRESIDENT / AFRICAN / MINISTER / AFRICA / AMBASSADOR / FRENCH / SUMMARY / GUINEA / SUPPORT
DANANG	QUANG / PROVINCE / CATHOLIC / VIET / SAIGON / FATHER / HELICOPTER / CORRUPTION / DEMONSTRATION / BISHOP
DAR ES SALAAM	TANGOV / SALAAM / AFRICA / TANZANIAN / SPAIN / AFRICAN / PRESIDENT / RHODESIA / GOVERNMENT / US
DHAHRAN	ARAMCO / SAUDI / POST / SAUDI ARABIA / COMPANY / MISSION / CONGEN / OIL / GENERAL / TRADE
DOUALA	TRADE / FIRM / CONTACT / TELEX / DIRECTOR / COMPANY / FILM / CABLE / REPLY / PRIVATE
DUBLIN	IRISH / GOI / BRITISH / GOVERNMENT / NORTHERN / IRA / ONE / PARTY / MINISTER / FAIL
DURBAN	NATAL / AFRICAN / AFRICA / BLACK / POLICE / CHIEF / INDIAN / PARTY / WHITE / INDEPENDENCE
DUSSELDORF	GERMAN / SPD / OPPORTUNITY / STEEL / FDP / CDU / MINISTER / FEDERAL / REVERSE / COAL
EC BRUSSELS	COMMISSION / COMMUNITY / COUNCIL / MEMBER / US / EUROPEAN / BRUSSELS / EC COMMISSION / AID / TRADE
EDINBURGH	LABOUR / SSA / POLL / CONSTITUENCY / SEAT / HERALD / CENT / CATHOLIC / CANDIDATE / PAYMENT
FLORENCE	REGIONAL / CITY / PARTY / CONSULATE / CHRISTIAN / MAYOR / COMMUNIST / ITALIAN / PSI / ITALY
FORT LAMY	CHAD / CHADIAN / FRENCH / FORT / GOC / DROUGHT / RELIEF / PARIS / RALLY / TASK
FRANCE	VINH / BINH / YOURSELF / CLOUD / ADMIRATION / DINH / SORTIE / DEBRIEF / SONG / NVA
FRANKFURT	FRANKFURT / GERMANY / FIRM / TRADE / GERMAN / MILLION / BUSINESS / REF / EQUIPMENT / OPPORTUNITY
FREETOWN	SIERRA / GOSL / PRESIDENT / EMBASSY / MINISTER / AFRICAN / AMBASSADOR / APC / STATE / MINISTRY
FUKUOKA	JAPAN / LDP / ELECTION / CITY / MFR / CONSERVATIVE / PAGE / MAYOR / JSP / OPPOSITION
GABORONE	PRESIDENT / AFRICA / RHODESIAN / AFRICAN / RHODESIA / SOUTHERN / REFUGEE / COMMENT / BORDER / NAMIBIA
GENEVA	GROUP / GENEVA / COMMITTEE / SESSION / TEXT / CONFERENCE / US / MISSION / GATT / REPORT
USSCC GENEVA	SCC / ICBM / BALLISTIC / GUIDELINE / LAUNCHER / SUBMARINE / BRACKET / DESTRUCTION / COMMEND / POSSIBLITY
USISSION GENEVA	ALLOT / MONGOLIAN / BASSIN / SEISMIC / JANEIRO / REASSURANCE / STAGNATION / CLANDESTINE / STAMP / WORKABLE
US SCC GENEVA	SCC / DESTRUCTION / AFOREMENTIONED / LAUNCHER / ICBM / COMPONENT / BALLISTIC / INITIATION / PREJUDICIAL / GUIDELINE
GENEVA USSCC	SCC / STATEMENT / COMMISSIONER / PLENARY / XIII / DEPLOYMENT / STRATEGIC / BALLISTIC / RADAR / MODE
SALT TALKS GENEVA	SALT / AMB / STATEMENT / JOINT / DRAFT / TEXT / SEPT / EXPLAIN / PREDICTION / DELAY
GENEVA SALT TALKS	EMBODY / BOOST / AGGREGATE / EXPLANATORY / SALT / CRITERION / PLAIN / PERCEIVE / VEHICLE / LOGIC
GENEVA USSALTTWO	SOVIET / ARTICLE / STATEMENT / SALT / TREATY / CRUISE / SIDE / STRATEGIC / RANGE / PROPOSAL
USSCC GENEVA GENEVA USSCC	SCC / SECOND / SESSION / EXPLAIN / PREDICTION / DELAY / EFFICIENCY / EMPHASIZE / DEMAND / EFFORT
GENOA	ITALIAN / CGIL / PSI / PORT / COLA / COCA / SOCIALIST / ITALY / MORO / PROVINCIAL
GEORGETOWN	GOG / GEORGETOWN / GUYANESE / MINISTER / PEOPLE / SUGAR / PRIME / PNC / CUBAN / COMMENT
GUADALAJARA	MEXICAN / PRISON / PRI / MEXICO / DISTURBANCE / PENAL / SYMPOSIUM / PRISONER / OCCIDENTAL / RIOT
GUATEMALA	GUATEMALA / GUATEMALAN / GOG / PRESIDENT / MINISTER / CITY / GOVERNMENT / AMERICAN / CENTRAL / CONGRESS
GUAYAQUIL	ECUADOR / ECUADOREAN / GENERAL / CONGEN / PORT / LOCAL / TUNA / BOAT / CONSULATE / OFFICER
HALIFAX	CANADA / NOVA / MINISTER / FEDERAL / CANADIAN / PROVINCIAL / ELECTION / COMMENT / JOHN / TIME
HAMBURG	SPD / FDP / PARTY / CDU / GERMANY / COALITION / GERMAN / STATE / PERCENT / GOVERNMENT
HAMILTON	RAND / BANK / GOVERNOR / CONGEN / INDEPENDENCE / PRECLEARANCE / ISLAND / ACCOUNT / RDO / FCO
HELSINKI	FINNISH / HELSINKI / PARTY / GOVERNMENT / SOVIET / CSCE / SOCIAL / TRADE / POLICY / PRESIDENT
HERMOSILLO	MEXICO / AIRCRAFT / CONOFF / POST / MEXICAN / ATTORNEY / FEDERAL / UNKNOWN / PRISON / ARREST
HONG KONG	HONG KONG / CHINA / CROSS / PEKING / CHINESE / CONGEN / CAT / NCNA / NOTIFICATION / PEOPLE
HONG KONG JOINT	FALCON / PRONOUNCE / CONDITIONAL / WHITLAM / CROSS / CONOFF / TWELVE / MILITIA / PERU / LUMBER
IAEA VIENNA	AGENCY / IAEA / MISSION / NUCLEAR / BOARD / AGREEMENT / VIENNA / SUBJECT / NPT / LETTER
VIENNA	VIENNA / REP / AUSTRIAN / UNIDO / GROUP / US / SOVIET / GOA / WESTERN / EASTERN
IBADAN	NIGERIAN / TRIBUNE / HARMONY / COCOA / UNPOPULAR / ALLEVIATE / EMBARRASS / INTERN / FOLLOWER / CONF
ISLAMABAD	PAKISTAN / GOP / GOVERNMENT / MINISTER / INDIA / MFA / PPP / PRESS / PNA / INDIAN
AMZMBASSY ISLAMABAD	DOL / BRANCH / UNDP / BOX / PAKISTAN / ACCOUNT / DEPOSIT / PAYMENT / BANK / NATIONAL
ISTANBUL	TURKEY / TURKISH / FIRM / MILLION / NA / CONGEN / GENERAL / TRADE / OFFICE / CABLE
IZMIR	RPP / TURKISH / POLICE / AEGEAN / TURKEY / LOCAL / PARTY / STUDENT / PRESS / LEFTIST
JAKARTA	INDONESIA / GOI / INDONESIAN / JAKARTA / ASEAN / PRESIDENT / PERTAMINA / MINISTER / GENERAL / OIL
DJAKARTA	TENNIS / SITREP / PERTAMINA / NEIGHBOR / JAKARTA / DESIROUS / EXPLORATORY / LAO / POLAD / LUMPUR
JAKARTA JOINT	UNCOVER / RENEWAL / ASEAN / INDONESIAN / LEASE / PALACE / PROTOCOL / SENSITIVITY / AID / INQUIRY
JEC PARIS	PARIS / LE / VIET / CONFERENCE / NAM / BILATERALS / VIETNAM / SAIGON / COMMUNIST / USDEL
PARIS	FRENCH / PARIS / FRANCE / UNESCO / RUSH / QUAI / AMCONSUL / GENERAL / EUROPEAN / DIRECTOR
JERUSALEM	JERUSALEM / BANK / ISRAELI / ISRAEL / PLO / ARAB / BEGIN / PALESTINIAN / UNIFIL / AREA
JIDDA	SAUDI / JIDDA / SAUDI ARABIA / PRINCE / EMBASSY / MINISTER / ARAB / VISIT / FAHD / REF
JIDDA JOINT	ENEMY / AZIZ / KINGDOM / PAF / PROMINENCE / HAMPER / NORTHROP / AMER / ATTAINMENT / DESTINY
JIDDA CU	SAUDI ARABIA / DOD / OFFICER / VISIT / EXPLAIN / PREDICTION / DELAY / EFFICIENCY / EMPHASIZE / DEMAND
JOHANNESBURG	AFRICA / BLACK / AFRICAN / TRADE / UNION / POLICE / LABOR / COMPANY / BOX / FIRM
KABUL	AFGHAN / GOA / MINISTER / GOVERNMENT / PAKISTAN / MINISTRY / PRESIDENT / REGIME / AMBASSADOR / COMMENT
KADUNA	STATE / NIGERIA / NIGERIAN / NORTHERN / LAGOS / CONSULATE / TRAIL / TENDER / WATER / BOARD
