week 26
*  166566 1976PARIS19449 0.007035404 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
*  166574 1976PARIS19514 0.007035404 | 1976-07-02 | PARIS | STATE | HIJACKED AIR FRANCE AIRCRAFT
   166545 1976PARIS19365 0.007034987 | 1976-07-01 | PARIS | STATE | LUNCHEON CONVERSATION WITH PRC AMBASSADOR
   166543 1976PARIS19341 0.007034753 | 1976-07-01 | PARIS | STATE | GOVERNOR SCRANTON'S EUROPEAN TRIP
   166532 1976PARIS19273 0.007034671 | 1976-07-01 | PARIS | STATE | DRV DIPLOMATIC APPROACH CONCERNING REUNIFIED VIETNAM
   166560 1976PARIS19423 0.007034664 | 1976-07-02 | PARIS | STATE | DRV DIPLOMATIC APPROACH CONCERNING REUNIFIED VIETNAM
   166556 1976PARIS19398 0.007034637 | 1976-07-02 | PARIS | STATE | BERLIN: QUAI COMMENTS ON MAJOR CURRENT ISSUES
   166531 1976PARIS19271 0.00703365 | 1976-07-01 | PARIS | WARSAW | POZNAN ENGLISH TEACHING SEMINAR
   166535 1976PARIS19284 0.007033593 | 1976-07-01 | PARIS | STATE | : BIO CAT' 1, LAOTIAN NATIONAL, NANG MA MANY, FAMILY OF ONE
   166563 1976PARIS19441 0.007033593 | 1976-07-02 | PARIS | STATE | : BIO.CAT.2,LAOTIAN NATIONAL, FAMILY OF ONE
   166544 1976PARIS19349 0.007032916 | 1976-07-01 | PARIS | STATE | GF: OPERATION NORD (GFXA-75-8055)
   166538 1976PARIS19294 0.007032158 | 1976-07-01 | PARIS | STATE | UNESCO SECRETARIAT POST (OPI-003)
   166608 1976PARIS19699 0.007031502 | 1976-07-07 | PARIS | STATE | REQUEST FOR TELEGRAM TRANSMITTAL
   166582 1976PARIS19539 0.007030831 | 1976-07-02 | PARIS | KHARTOUM STATE | REQUEST TO CONTACT UNESCO DG M'BOW
   166539 1976PARIS19327 0.007030737 | 1976-07-01 | PARIS | STATE | FY-76 INTERNATIONAL VISITOR PROGRAM
   166564 1976PARIS19442 0.007030691 | 1976-07-02 | PARIS | STATE | BIO. CAT.1, VIETNAMESE NATIONAL, VO HA HIEN, GRANDSON VO HA THIEN
   166565 1976PARIS19445 0.007030358 | 1976-07-02 | PARIS | STATE | : BIO CAT. 1, FRENCH NATIONAL, NGUYEN THI THIEN AGNES, FAMILY OF TWO
   166527 1976PARIS19253 0.007029708 | 1976-07-01 | PARIS | ATHENS | NEW FRENCH DCM IN ATHENS

[166589, 166614, 166602, 166586, 166623, 166547, 166593, 166529, 166523, 166540, 166628, 166530, 166566, 166574]
